2000 Coord,Discov,Comp,PA_l,Sep_l,id_1,mag_1,ra_deg_1,dec_deg_1,id_2,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag_2,ra_deg_2,dec_deg_2,theta_measured,rho_measured,mag_diff
22033+5944,STI1083,,99.0,10.1,41,-2.9219725885197834,330.8042500592894,59.7302668930251,42,2345.941223883958,736.1172118107877,0.558511755005139,0.13539793439167117,-0.08723854649862875,169,0.0,3841.0,5.555043318252406,-1.8617186248009623,330.8097186935004,59.72983981251348,98.80446433862399,10.042155615486601,1.060253963718821
22033+5944,STI1083,,99.0,10.1,44,-2.866873721243416,330.8043859746549,59.73028949873479,46,2342.986620531856,736.0820878310744,0.6050287567862889,0.12972883843829372,-0.17566522521864242,169,0.0,4025.0,5.561789147836607,-1.8630363009163506,330.80989462049473,59.72986439086905,98.70171035741414,10.112829454993099,1.0038374203270655
22033+5944,STI1083,,99.0,10.1,47,-2.8723970098936773,330.80425979851253,59.730262306344684,48,2339.6812129257546,738.1876894885825,0.5280276560838146,0.068557771136558,-0.27641423782556146,169,0.0,3724.0,5.478297219294466,-1.8466139768767609,330.8097607407431,59.72986744652433,98.10207769425934,10.083087797206483,1.0257830330169164
22033+5944,STI1083,,99.0,10.1,35,-2.542485478519492,330.804318457471,59.73023429452067,36,2335.993409053144,740.2173653880958,0.43427329488668986,-0.27899051470133596,0.3991179245429686,169,0.0,2597.0,4.026800021280285,-1.5124001555861255,330.80978783979094,59.72982007973167,98.54197811561815,10.036518939428134,1.0300853229333666
22033+5944,STI1083,,99.0,10.1,43,-2.8144100767294193,330.8042713778581,59.73020553978187,44,2333.5984477780203,742.0366768240219,0.7223034961347108,0.048199947873757774,-0.005095901423080543,169,0.0,4446.0,5.271568562524807,-1.804849648415761,330.8097803463502,59.72979128021737,98.48235656923217,10.107595421238681,1.0095604283136583
22033+5944,STI1083,,99.0,10.1,36,-2.654037012703892,330.80406043376456,59.730162930489485,37,2329.788709714859,742.0517736975706,0.713527361495487,-0.4523001980428192,-0.20670831454398875,169,0.0,3690.0,4.050272963393067,-1.5187107324197764,330.8095305520036,59.729701976377015,99.48814992717422,10.064239054507405,1.1353262802841155
22033+5944,STI1083,,99.0,10.1,46,-2.9893874603835884,330.8042535525156,59.73026754107826,48,2324.8785835098292,742.975570143758,0.7036701397890197,-2.213637708222274e-06,-0.18734462062643842,169,0.0,4683.0,5.701004245646611,-1.8898784110790936,330.8097909181441,59.72985265079459,98.45214346736311,10.158880997376883,1.0995090493044948
22033+5944,STI1083,,99.0,10.1,48,-2.94260231135236,330.8042427597896,59.7302459652639,50,2322.908762974469,741.9803519265032,0.6520612000489405,0.24756069723136262,-0.11454017095900287,169,0.0,4398.0,5.774173465065875,-1.9037245665398426,330.80979046629454,59.72985111832241,98.03437493850909,10.167107326862128,1.0388777448125173
22033+5944,STI1083,,99.0,10.1,47,-2.789122628583192,330.80418581291843,59.730163510264234,49,2322.7118221144474,740.9027272116416,0.6955056178204833,-0.16446220122273097,-0.06654864267059103,169,0.0,4149.0,4.93983892154089,-1.7342819691580604,330.80976608207703,59.729784785499845,97.66575438280677,10.217736700658953,1.0548406594251316
22033+5944,STI1083,,99.0,10.1,37,-2.1157449741983703,330.80432879886365,59.73030521361073,39,2319.3296955119126,737.8253386333045,0.4732371257875186,-0.6007476616152899,0.16241624247529657,169,0.0,2130.0,2.5173972662519777,-1.0023793906060936,330.8097004173253,59.729858485259406,99.36621578666379,9.879475691000582,1.1133655835922767
22039+5949,STT 461,AB,297.0,11.1,93,-4.606624796418059,330.97395411275085,59.81442891624189,94,1943.4268960116538,1301.5993208734135,0.30440951642907554,0.16316288620417335,0.10658521484394717,169,0.0,65455.0,72.18391777201958,-4.646101124088272,330.97397312953285,59.81493357476599,1.08542731999022,1.8170967470109214,-0.03947632767021325
22039+5949,STT 461,AB,297.0,11.1,94,-4.646101124088272,330.97397312953285,59.81493357476599,92,1917.2367895798886,1293.8130907730945,0.5616176619548154,0.2731588924245756,-0.11553733548259783,169,0.0,1054.0,1.2599313437352224,-0.25086720039445837,330.96977475460545,59.819100583227836,333.13742573673875,16.816041913732377,4.395233923693813
22039+5949,STT 461,AB,297.0,11.1,88,-4.636882825794486,330.97392873368557,59.81440999411353,87,1942.2048692709457,1299.5973934340068,0.3084900564339022,-0.23406463154709523,-0.27035387146844964,169,0.0,65456.0,71.64351628484977,-4.637942232502476,330.97335567984896,59.81474392346769,319.210926416113,1.5877941591532232,-0.0010594067079896519
22039+5949,STT 461,AB,297.0,11.1,92,-4.701704685841517,330.97335569503,59.814716897934545,90,1929.8304110940246,1290.1812418385855,0.24753053842806366,-0.8885610266363918,-0.42826091181749626,169,0.0,5571.0,9.220255025512143,-2.411857333718926,330.968551119801,59.816042980166614,298.76654021900356,9.920607024033549,2.289847352122591
22039+5949,STT 461,AB,297.0,11.1,93,-4.63564074093999,330.9741049428721,59.81500858099001,90,1929.8304110940246,1290.1812418385855,0.24753053842806366,-0.8885610266363918,-0.42826091181749626,169,0.0,5571.0,9.220255025512143,-2.411857333718926,330.968551119801,59.816042980166614,290.3288436896747,10.720135351605501,2.2237834072210636
22039+5949,STT 461,AB,297.0,11.1,72,-4.572829010429946,330.97462756975665,59.81487283824299,70,1937.7774840639195,1303.7454319580472,0.3069744768897899,0.023791843209068856,-0.36413080470089754,169,0.0,65455.0,74.02568573719203,-4.673456097920959,330.97286371009386,59.81452845618301,248.77888532889062,3.4249781855476926,-0.1006270874910129
22039+5949,STT 461,AB,297.0,11.1,91,-4.574199684659969,330.97380256873856,59.81441115654314,92,1934.1371998272525,1310.2963350364034,0.30415584579247285,0.28702928672276196,0.1675863892604904,169,0.0,65453.0,68.34572247222498,-4.586778346826485,330.9740931138771,59.8149973206296,13.994208213533586,2.174737695543496,-0.01257866216651582
